Land;Stadt;Kategorie;Merkmal;Wintersemester;Studierende insgesamt;Fachhochschule Kiel;Muthesius-Schule;Christian-Albrechts-Universitaet
de-sh;Kiel;bildung_wissenschaft;Studierende;1996/97;28445;4976;626;22843
de-sh;Kiel;bildung_wissenschaft;Studierende;1997/98;27945;4872;666;22407
de-sh;Kiel;bildung_wissenschaft;Studierende;1998/99;26751;4870;614;21267
de-sh;Kiel;bildung_wissenschaft;Studierende;1999/00;25882;4871;598;20413
de-sh;Kiel;bildung_wissenschaft;Studierende;2000/01;25310;5072;635;19603
de-sh;Kiel;bildung_wissenschaft;Studierende;2001/02;25290;5166;644;19480
de-sh;Kiel;bildung_wissenschaft;Studierende;2002/03;25823;5313;665;19845
de-sh;Kiel;bildung_wissenschaft;Studierende;2003/04;26601;5465;723;20413
de-sh;Kiel;bildung_wissenschaft;Studierende;2004/05;27081;5515;706;20860
de-sh;Kiel;bildung_wissenschaft;Studierende;2005/06;27124;5325;601;21198
de-sh;Kiel;bildung_wissenschaft;Studierende;2006/07;27340;5183;597;21560
de-sh;Kiel;bildung_wissenschaft;Studierende;2007/08;27734;5120;566;22048
de-sh;Kiel;bildung_wissenschaft;Studierende;2008/09;27954;5347;490;22117
de-sh;Kiel;bildung_wissenschaft;Studierende;2009/10;29018;5715;478;22825
de-sh;Kiel;bildung_wissenschaft;Studierende;2010/11;30041;6062;532;23447
de-sh;Kiel;bildung_wissenschaft;Studierende;2011/12;31183;6442;552;24189
de-sh;Kiel;bildung_wissenschaft;Studierende;2012/13;31088;6498;550;24040
de-sh;Kiel;bildung_wissenschaft;Studierende;2013/14;31636;6846;563;24227
de-sh;Kiel;bildung_wissenschaft;Studierende;2014/15;32013;7169;601;24844
de-sh;Kiel;bildung_wissenschaft;Studierende;2015/16;33297;7412;608;25277
de-sh;Kiel;bildung_wissenschaft;Studierende;2016/17;34048;7702;621;25725
de-sh;Kiel;bildung_wissenschaft;Studierende;2017/18;35221;7775;646;26477
de-sh;Kiel;bildung_wissenschaft;Studierende;2018/19;36255;7824;657;27477
de-sh;Kiel;bildung_wissenschaft;Studierende;2019/20;36002;7997;649;27066
de-sh;Kiel;bildung_wissenschaft;Studierende;2020/21;36663;7958;650;27754
de-sh;Kiel;bildung_wissenschaft;Studierende;2021/22;36256;7864;651;27455
de-sh;Kiel;bildung_wissenschaft;Studierende;2022/23;35870;7720;651;27152
de-sh;Kiel;bildung_wissenschaft;Studierende;2023/24;34616;7656;646;25940
